identifier	date of composition	date of publication	annotator	not Latin? (put checkmark)	notes	URL	langid
oratoresattici01hunzgoog		1858				https://archive.org/details//oratoresattici01hunzgoog	la
patrologiaecurs103unkngoog		1890				https://archive.org/details//patrologiaecurs103unkngoog	la
sanctipatrisnos02chrygoog		1836				https://archive.org/details//sanctipatrisnos02chrygoog	la
patrologiaecurs141migngoog		1854				https://archive.org/details//patrologiaecurs141migngoog	la
titiliviihistori00livy		1678				https://archive.org/details//titiliviihistori00livy	la
novumtestamentu00englgoog		1850				https://archive.org/details//novumtestamentu00englgoog	la
quintihoratiifl01dacigoog		1799				https://archive.org/details//quintihoratiifl01dacigoog	la
casparisklockii00kloc		1676				https://archive.org/details//casparisklockii00kloc	la
lexiconarabicol00freygoog		1837				https://archive.org/details//lexiconarabicol00freygoog	la
palaeographiacr00koppgoog		1817				https://archive.org/details//palaeographiacr00koppgoog	la
patrologiaecurs27goog		1865				https://archive.org/details//patrologiaecurs27goog	la
scholiagraecain01dbgoog		1855				https://archive.org/details//scholiagraecain01dbgoog	la
sanctipatrisnos00chrygoog		1839				https://archive.org/details//sanctipatrisnos00chrygoog	la
quintihoratiifl03dacigoog		1793				https://archive.org/details//quintihoratiifl03dacigoog	la
quintihoratiifla40hora		1740				https://archive.org/details//quintihoratiifla40hora	la
joannisdelugodi00lugogoog						https://archive.org/details//joannisdelugodi00lugogoog	la
patrologiaecurs177unkngoog		1844				https://archive.org/details//patrologiaecurs177unkngoog	la
patrologiaecursu38mignuoft		1857				https://archive.org/details//patrologiaecursu38mignuoft	la
patrologiaecurs160unkngoog		1895				https://archive.org/details//patrologiaecurs160unkngoog	la
patrologiaecurs127unkngoog		1880				https://archive.org/details//patrologiaecurs127unkngoog	la
novuslinguaeeter02gesn		1749				https://archive.org/details//novuslinguaeeter02gesn	la
patrologiaecurs118unkngoog		1862				https://archive.org/details//patrologiaecurs118unkngoog	la
bibliothecagraec03fabruoft		1790				https://archive.org/details//bibliothecagraec03fabruoft	la
catalogushymeno00torrgoog		1902				https://archive.org/details//catalogushymeno00torrgoog	la
quintihoratiifl04despgoog		1835				https://archive.org/details//quintihoratiifl04despgoog	la
scholiagraecaina00dbuoft		1855				https://archive.org/details//scholiagraecaina00dbuoft	la
patrologiaecurs137unkngoog		1844				https://archive.org/details//patrologiaecurs137unkngoog	la
patrologiaecurs94unkngoog		1880				https://archive.org/details//patrologiaecurs94unkngoog	la
quintihoratiifl04dacigoog		1824				https://archive.org/details//quintihoratiifl04dacigoog	la
patrologiaecurs34unkngoog		1881				https://archive.org/details//patrologiaecurs34unkngoog	la
patrologiaecurs76unkngoog		1879				https://archive.org/details//patrologiaecurs76unkngoog	la
patrologiaecurs01unkngoog		1884				https://archive.org/details//patrologiaecurs01unkngoog	la
patrologiaecurs29unkngoog		1874				https://archive.org/details//patrologiaecurs29unkngoog	la
monumentagenecro04geseuoft						https://archive.org/details//monumentagenecro04geseuoft	la
patrologiaecurs200unkngoog		1865				https://archive.org/details//patrologiaecurs200unkngoog	la
corpuspoetaruml00postgoog		1894				https://archive.org/details//corpuspoetaruml00postgoog	la
hierarchiacathol06eubeuoft		1913				https://archive.org/details//hierarchiacathol06eubeuoft	la
bibliothecagraec05fabruoft		1790				https://archive.org/details//bibliothecagraec05fabruoft	la
patrologiaecurs06migngoog		1879				https://archive.org/details//patrologiaecurs06migngoog	la
indexbryologicu00parigoog		1894				https://archive.org/details//indexbryologicu00parigoog	la
opera01lucigoog		1842				https://archive.org/details//opera01lucigoog	la
hymnographilatin01drevuoft		1905				https://archive.org/details//hymnographilatin01drevuoft	la
synopsisplantaru02diet		1839				https://archive.org/details//synopsisplantaru02diet	la
patrologiaecurs85unkngoog		1891				https://archive.org/details//patrologiaecurs85unkngoog	la
patrologiaecurs64unkngoog		1880				https://archive.org/details//patrologiaecurs64unkngoog	la
indexbryologicu01parigoog		1898				https://archive.org/details//indexbryologicu01parigoog	la
patrologiaecurs74unkngoog		1863				https://archive.org/details//patrologiaecurs74unkngoog	la
decretalespseud00hinsgoog		1863				https://archive.org/details//decretalespseud00hinsgoog	la
eclogaeho00horauoft		1819				https://archive.org/details//eclogaeho00horauoft	la
patrologiaecurs144unkngoog		1865				https://archive.org/details//patrologiaecurs144unkngoog	la
patrologiaecurs89unkngoog		1881				https://archive.org/details//patrologiaecurs89unkngoog	la
patrologicursus100migngoog		1843				https://archive.org/details//patrologicursus100migngoog	la
operagraeceetla01dindgoog		1865				https://archive.org/details//operagraeceetla01dindgoog	la
digestaiustinia00kruegoog		1870				https://archive.org/details//digestaiustinia00kruegoog	la
scriptorumhisto01lessgoog		1901				https://archive.org/details//scriptorumhisto01lessgoog	la
patrologiaecurs21unkngoog		1879				https://archive.org/details//patrologiaecurs21unkngoog	la
patrologiaecurs186unkngoog		1844				https://archive.org/details//patrologiaecurs186unkngoog	la
patrologiaecurs119unkngoog		1894				https://archive.org/details//patrologiaecurs119unkngoog	la
patrologiaecurs32goog		1844				https://archive.org/details//patrologiaecurs32goog	la
corpusiuriscivil03krueuoft						https://archive.org/details//corpusiuriscivil03krueuoft	la
patrologiaecurs120unkngoog		1895				https://archive.org/details//patrologiaecurs120unkngoog	la
patrologiaecurs159unkngoog		1844				https://archive.org/details//patrologiaecurs159unkngoog	la
pterentiiafrico04teregoog		1791				https://archive.org/details//pterentiiafrico04teregoog	la
bibliothecagraec07fabruoft		1790				https://archive.org/details//bibliothecagraec07fabruoft	la
patrologiaecurs02migngoog		1877				https://archive.org/details//patrologiaecurs02migngoog	la
diodroutousikel00mlgoog		1878				https://archive.org/details//diodroutousikel00mlgoog	la
operahorac00horauoft		1838				https://archive.org/details//operahorac00horauoft	la
quattuoreuangeli00jero		1889				https://archive.org/details//quattuoreuangeli00jero	la
supplementatabu00lambgoog		1798				https://archive.org/details//supplementatabu00lambgoog	la
operaomniaillus00horagoog		1831				https://archive.org/details//operaomniaillus00horagoog	la
qhoratiiflaccio01drgoog		1831				https://archive.org/details//qhoratiiflaccio01drgoog	la
nonimarcellicom00marcgoog		1888				https://archive.org/details//nonimarcellicom00marcgoog	la
patrologiaecurs06unkngoog		1879				https://archive.org/details//patrologiaecurs06unkngoog	la
patrologiaecurs129unkngoog		1891				https://archive.org/details//patrologiaecurs129unkngoog	la
eroticiscriptor00hirsgoog		1885				https://archive.org/details//eroticiscriptor00hirsgoog	la
commentariusper00rupegoog		1825				https://archive.org/details//commentariusper00rupegoog	la
patrologiaecurs103migngoog		1864				https://archive.org/details//patrologiaecurs103migngoog	la
patrologiaecurs30unkngoog		1879				https://archive.org/details//patrologiaecurs30unkngoog	la
epigrammatumant01plangoog		1888				https://archive.org/details//epigrammatumant01plangoog	la
joannisdunsscoti01duns		1739				https://archive.org/details//joannisdunsscoti01duns	la
patrologiaecurs24unkngoog		1880				https://archive.org/details//patrologiaecurs24unkngoog	la
patrologiaecursu36mignuoft		1857				https://archive.org/details//patrologiaecursu36mignuoft	la
tliviipatavinih01lefegoog		1825				https://archive.org/details//tliviipatavinih01lefegoog	la
patrologiaecurs20goog		1855				https://archive.org/details//patrologiaecurs20goog	la
corpusjuriscivil00krueuoft						https://archive.org/details//corpusjuriscivil00krueuoft	la
dionysiihalicar00prougoog		1886				https://archive.org/details//dionysiihalicar00prougoog	la
patrologiaecurs102unkngoog		1862				https://archive.org/details//patrologiaecurs102unkngoog	la
opera08horagoog		1804				https://archive.org/details//opera08horagoog	la
dionysiihalicar01prougoog		1886				https://archive.org/details//dionysiihalicar01prougoog	la
patrologiaecurs124migngoog		1861				https://archive.org/details//patrologiaecurs124migngoog	la
monumentagerman04mittgoog		1888				https://archive.org/details//monumentagerman04mittgoog	la
lexiconaeschyle00dindgoog		1876				https://archive.org/details//lexiconaeschyle00dindgoog	la
monumentagermani0402geseuoft						https://archive.org/details//monumentagermani0402geseuoft	la
patrologiaecurs128unkngoog		1879				https://archive.org/details//patrologiaecurs128unkngoog	la
fragmentahistor03unkngoog						https://archive.org/details//fragmentahistor03unkngoog	la
patrologiaecurs32unkngoog		1863				https://archive.org/details//patrologiaecurs32unkngoog	la
patrologiaecurs181unkngoog		1865				https://archive.org/details//patrologiaecurs181unkngoog	la
patrologiaecurs09goog		1865				https://archive.org/details//patrologiaecurs09goog	la
hugonisgrotiide02grongoog		1689				https://archive.org/details//hugonisgrotiide02grongoog	la
synopsisplantaru03diet		1839				https://archive.org/details//synopsisplantaru03diet	la
hugonisgrotiide03grongoog		1680				https://archive.org/details//hugonisgrotiide03grongoog	la
patrologiaecurs240unkngoog		1844				https://archive.org/details//patrologiaecurs240unkngoog	la
patrologiaecurs133migngoog		1855				https://archive.org/details//patrologiaecurs133migngoog	la
joannisdunsscoti03duns		1739				https://archive.org/details//joannisdunsscoti03duns	la
opera07horagoog		1708				https://archive.org/details//opera07horagoog	la
catalogushymenop03dall		1894				https://archive.org/details//catalogushymenop03dall	la
patrologiaecurs123migngoog		1894				https://archive.org/details//patrologiaecurs123migngoog	la
patrologiaecurs99unkngoog		1847				https://archive.org/details//patrologiaecurs99unkngoog	la
qhorativsflaccu00schrgoog		1658				https://archive.org/details//qhorativsflaccu00schrgoog	la
geographigraeci05mlgoog		1882				https://archive.org/details//geographigraeci05mlgoog	la
corpusiuriscivil02krueuoft						https://archive.org/details//corpusiuriscivil02krueuoft	la
mannaeilucaniph00burmgoog		1740				https://archive.org/details//mannaeilucaniph00burmgoog	la
corpusgrammatico01linduoft		1831				https://archive.org/details//corpusgrammatico01linduoft	la
geographigraeci03mlgoog		1855				https://archive.org/details//geographigraeci03mlgoog	la
operaquaesupers01flosgoog		1853				https://archive.org/details//operaquaesupers01flosgoog	la
patrologiaecurs10goog		1845				https://archive.org/details//patrologiaecurs10goog	la
patrologiaecurs60unkngoog		1899				https://archive.org/details//patrologiaecurs60unkngoog	la
patrologiaecurs39unkngoog		1845				https://archive.org/details//patrologiaecurs39unkngoog	la
patrologiaecurs131migngoog		1879				https://archive.org/details//patrologiaecurs131migngoog	la
hierarchiacathol05eubeuoft		1913				https://archive.org/details//hierarchiacathol05eubeuoft	la
patrologiaecurs142unkngoog		1879				https://archive.org/details//patrologiaecurs142unkngoog	la
patrologiaecurs04migngoog		1879				https://archive.org/details//patrologiaecurs04migngoog	la
joannisdunsscot01waddgoog						https://archive.org/details//joannisdunsscot01waddgoog	la
novuslinguaeeter03gesn		1749				https://archive.org/details//novuslinguaeeter03gesn	la
patrologiaecurs142migngoog		1845				https://archive.org/details//patrologiaecurs142migngoog	la
patrologiaecurs56unkngoog		1879				https://archive.org/details//patrologiaecurs56unkngoog	la
patrologiaecurs110unkngoog		1853				https://archive.org/details//patrologiaecurs110unkngoog	la
patrologiaecurs63unkngoog		1862				https://archive.org/details//patrologiaecurs63unkngoog	la
nomenclatorlite11hurtgoog		1903				https://archive.org/details//nomenclatorlite11hurtgoog	la
bibliasacravulga00helzuoft		1914				https://archive.org/details//bibliasacravulga00helzuoft	la
doctorisecstati09unkngoog		1901				https://archive.org/details//doctorisecstati09unkngoog	la
novaactaregiaeso325658kung		1773				https://archive.org/details//novaactaregiaeso325658kung	la
synopsisnumorum00arnegoog		1837				https://archive.org/details//synopsisnumorum00arnegoog	la
patrologiaecurs46unkngoog		1879				https://archive.org/details//patrologiaecurs46unkngoog	la
dmagniavsoniiop01ausogoog		1671				https://archive.org/details//dmagniavsoniiop01ausogoog	la
ccorneliitaciti03lipsgoog						https://archive.org/details//ccorneliitaciti03lipsgoog	la
bibliothecagraec09fabruoft		1790				https://archive.org/details//bibliothecagraec09fabruoft	la
patrologiaecurs37unkngoog		1879				https://archive.org/details//patrologiaecurs37unkngoog	la
patrologiaecurs15goog		1879				https://archive.org/details//patrologiaecurs15goog	la
corpuspoetaruml01postgoog		1905				https://archive.org/details//corpuspoetaruml01postgoog	la
tliviipatavinih02grongoog		1825				https://archive.org/details//tliviipatavinih02grongoog	la
patrologiaecurs00unkngoog		1879				https://archive.org/details//patrologiaecurs00unkngoog	la
patrologiaecursu44mignuoft		1857				https://archive.org/details//patrologiaecursu44mignuoft	la
patrologiaecurs00berngoog		1855				https://archive.org/details//patrologiaecurs00berngoog	la
patrologiaecurs125unkngoog		1882				https://archive.org/details//patrologiaecurs125unkngoog	la
herodotihalicar02unkngoog		1856				https://archive.org/details//herodotihalicar02unkngoog	la
iliaskaieisauten00homeuoft		1689				https://archive.org/details//iliaskaieisauten00homeuoft	la
patrologiaecurs69unkngoog		1880				https://archive.org/details//patrologiaecurs69unkngoog	la
joannisdunsscot03waddgoog						https://archive.org/details//joannisdunsscot03waddgoog	la
onomasticoncuma00naucgoog						https://archive.org/details//onomasticoncuma00naucgoog	la
doctorisecstati02denigoog		1897				https://archive.org/details//doctorisecstati02denigoog	la
patrologiaecurs38unkngoog		1879				https://archive.org/details//patrologiaecurs38unkngoog	la
lexiconvniversa00rascgoog		1790				https://archive.org/details//lexiconvniversa00rascgoog	la
lannaeifloriepi00fiscgoog						https://archive.org/details//lannaeifloriepi00fiscgoog	la
patrologiaecurs140migngoog		1846				https://archive.org/details//patrologiaecurs140migngoog	la
patrologiaecurs137migngoog		1854				https://archive.org/details//patrologiaecurs137migngoog	la
corpusscriptoru33theogoog		1828				https://archive.org/details//corpusscriptoru33theogoog	la
eutropiibreviar03verhgoog						https://archive.org/details//eutropiibreviar03verhgoog	la
patrologiaecurs79unkngoog		1862				https://archive.org/details//patrologiaecurs79unkngoog	la
fragmentahistor00antgoog		1849				https://archive.org/details//fragmentahistor00antgoog	la
notinaristophan00valpgoog		1829				https://archive.org/details//notinaristophan00valpgoog	la
patrologiaecurs28unkngoog		1879				https://archive.org/details//patrologiaecurs28unkngoog	la
joannisvoetcomm00burmgoog						https://archive.org/details//joannisvoetcomm00burmgoog	la
fragmentahistor01unkngoog		1848				https://archive.org/details//fragmentahistor01unkngoog	la
lannaeifloriepi01unkngoog						https://archive.org/details//lannaeifloriepi01unkngoog	la
qhorativsflaccu00bondgoog		1663				https://archive.org/details//qhorativsflaccu00bondgoog	la
herodotihalicar00bhgoog		1856				https://archive.org/details//herodotihalicar00bhgoog	la
monumentagerman01mittgoog		1898				https://archive.org/details//monumentagerman01mittgoog	la
geographigraeci04mlgoog		1861				https://archive.org/details//geographigraeci04mlgoog	la
geographigraeci02mlgoog		1861				https://archive.org/details//geographigraeci02mlgoog	la
doctorisecstati00unkngoog		1897				https://archive.org/details//doctorisecstati00unkngoog	la
tliviipatavinih27unkngoog						https://archive.org/details//tliviipatavinih27unkngoog	la
hesiodicarminaa00lehrgoog		1841				https://archive.org/details//hesiodicarminaa00lehrgoog	la
nomenclatorlite03hurtgoog		1903				https://archive.org/details//nomenclatorlite03hurtgoog	la
joannisdunsscot02waddgoog						https://archive.org/details//joannisdunsscot02waddgoog	la
doctorisecstati06unkngoog		1897				https://archive.org/details//doctorisecstati06unkngoog	la
patrologiaecurs52unkngoog		1862				https://archive.org/details//patrologiaecurs52unkngoog	la
patrologiaecurs31unkngoog		1881				https://archive.org/details//patrologiaecurs31unkngoog	la
leonisromanorum00migngoog		1863				https://archive.org/details//leonisromanorum00migngoog	la
ccorneliitaciti00verlgoog		1752				https://archive.org/details//ccorneliitaciti00verlgoog	la
patrologiaecurs27unkngoog		1890				https://archive.org/details//patrologiaecurs27unkngoog	la
dogmatatheologi00goog		1866				https://archive.org/details//dogmatatheologi00goog	la
patrologiaecursu45mignuoft		1857				https://archive.org/details//patrologiaecursu45mignuoft	la
patrologiaecurs05migngoog		1880				https://archive.org/details//patrologiaecurs05migngoog	la
patrologiaecurs03unkngoog		1880				https://archive.org/details//patrologiaecurs03unkngoog	la
carolilinnsy02linn		1788				https://archive.org/details//carolilinnsy02linn	la
lexiconfrisicum00halbgoog		1874				https://archive.org/details//lexiconfrisicum00halbgoog	la
lexiconvniversa03rascgoog		1785				https://archive.org/details//lexiconvniversa03rascgoog	la
pterentiiafrico03teregoog		1791				https://archive.org/details//pterentiiafrico03teregoog	la
fragmentahistor02unkngoog						https://archive.org/details//fragmentahistor02unkngoog	la
dogmatatheologi00zaccgoog		1867				https://archive.org/details//dogmatatheologi00zaccgoog	la
cataloguslibroru00leipuoft		1838				https://archive.org/details//cataloguslibroru00leipuoft	la
epigrammatumant00plangoog		1890				https://archive.org/details//epigrammatumant00plangoog	la
locorumtheologi00mlgoog		1875				https://archive.org/details//locorumtheologi00mlgoog	la
qhoratiusflaccus02horauoft						https://archive.org/details//qhoratiusflaccus02horauoft	la
patrologiaecurs49unkngoog		1879				https://archive.org/details//patrologiaecurs49unkngoog	la
anekdotaexcodic00theogoog		1838				https://archive.org/details//anekdotaexcodic00theogoog	la
cataloguscodicum01coxeuoft		1852				https://archive.org/details//cataloguscodicum01coxeuoft	la
clavisciceroni00erneuoft		1831				https://archive.org/details//clavisciceroni00erneuoft	la
lexiconcaesaria01meusgoog		1893				https://archive.org/details//lexiconcaesaria01meusgoog	la
corpusscriptoru10berlgoog		1829				https://archive.org/details//corpusscriptoru10berlgoog	la
lannaeisenecaet00unkngoog		1662				https://archive.org/details//lannaeisenecaet00unkngoog	la
patrologiaecurs130unkngoog		1846				https://archive.org/details//patrologiaecurs130unkngoog	la
lexiconvniversa01rascgoog		1793				https://archive.org/details//lexiconvniversa01rascgoog	la
